start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,0,1,0,56
2024-05-08,2024-05-14,col,0,1,0,57
2024-05-15,2024-05-21,col,0,1,0,61
2024-05-22,2024-05-28,col,0,1,0,45
2024-05-29,2024-06-04,col,0,1,0,47
2024-06-05,2024-06-11,col,0,1,0,41
2024-06-12,2024-06-18,col,0,2,0,44.5
2024-06-19,2024-06-25,col,0,2,0,44
2024-06-26,2024-07-02,col,0,1,0,69
2024-07-03,2024-07-09,col,0,1,0,28
2024-07-10,2024-07-16,col,0,1,0,44
2024-07-17,2024-07-23,col,0,1,0,93
2024-07-24,2024-07-30,col,0,1,0,63
