start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,4
2024-05-08,2024-05-14,mex,0,2,0,24
2024-05-15,2024-05-21,mex,0,1,0,30
2024-05-22,2024-05-28,mex,0,2,0,15
2024-05-29,2024-06-04,mex,0,1,0,13
2024-06-05,2024-06-11,mex,0,1,0,54
2024-06-12,2024-06-18,mex,0,1,0,9
2024-06-19,2024-06-25,mex,0,2,0,20.5
2024-06-26,2024-07-02,mex,0,1,0,5
2024-07-03,2024-07-09,mex,0,3,0,22.333333333333332
2024-07-10,2024-07-16,mex,0,2,0,18.5
2024-07-17,2024-07-23,mex,0,5,0,11
2024-07-24,2024-07-30,mex,0,3,0,7.333333333333333
2024-07-31,2024-08-06,mex,0,2,0,5
2024-08-07,2024-08-13,mex,0,2,0,8.5
2024-08-14,2024-08-20,mex,0,2,0,8
2024-08-21,2024-08-27,mex,0,1,0,5
2024-08-28,2024-09-03,mex,0,4,0,15.25
2024-09-04,2024-09-10,mex,0,3,0,7
2024-09-11,2024-09-17,mex,0,1,0,9
2024-09-18,2024-09-24,mex,0,1,0,8
2024-09-25,2024-10-01,mex,0,4,0,9.5
2024-10-02,2024-10-08,mex,0,1,0,4
2024-10-09,2024-10-15,mex,0,3,0,7.666666666666667
2024-10-16,2024-10-22,mex,0,1,0,25
