start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,globalcare,0,1,0,9
2024-05-08,2024-05-14,usa,globalcare,0,5,0,7.4
2024-05-15,2024-05-21,usa,globalcare,0,3,0,6.333333333333333
2024-05-22,2024-05-28,usa,globalcare,0,1,0,10
2024-05-29,2024-06-04,usa,globalcare,0,3,0,4.666666666666666
2024-06-05,2024-06-11,usa,globalcare,0,1,0,5
2024-06-12,2024-06-18,usa,global care clinic,0,1,0,11
2024-06-12,2024-06-18,usa,globalcare,0,2,0,8.5
2024-06-19,2024-06-25,usa,globalcare,0,2,0,6
2024-06-26,2024-07-02,usa,globalcare,0,2,0,5
2024-07-03,2024-07-09,usa,global care network,0,2,0,10
2024-07-03,2024-07-09,usa,globalcare,0,2,0,3.5
2024-07-03,2024-07-09,usa,globalcare inc,0,1,0,10
2024-07-10,2024-07-16,usa,global care network,0,5,0,10.2
2024-07-10,2024-07-16,usa,globalcare,0,1,0,4
2024-07-10,2024-07-16,usa,globalcare inc,0,1,0,9
2024-07-17,2024-07-23,usa,global dental care,0,3,0,8
2024-07-17,2024-07-23,usa,globalcare inc,0,2,0,8
2024-07-24,2024-07-30,usa,globalcare,0,2,0,8
2024-07-31,2024-08-06,usa,global care network,0,4,0,11.5
2024-07-31,2024-08-06,usa,globalcare,0,2,0,4
2024-08-07,2024-08-13,usa,global care network,0,1,0,8
2024-08-07,2024-08-13,usa,globalcare,0,3,0,3.6666666666666665
2024-08-14,2024-08-20,usa,global care network,0,1,0,11
2024-08-14,2024-08-20,usa,global dental care,0,1,0,8
2024-08-14,2024-08-20,usa,globalcare,0,1,0,3
2024-08-21,2024-08-27,usa,global care network,0,2,0,8.5
2024-08-21,2024-08-27,usa,global dental care,0,1,0,6
2024-08-21,2024-08-27,usa,globalcare,0,3,0,2.666666666666667
2024-08-28,2024-09-03,usa,dental services mexico,0,1,0,10
2024-08-28,2024-09-03,usa,globalcare,0,1,0,4
2024-09-04,2024-09-10,usa,global dental services,0,2,0,9.5
2024-09-11,2024-09-17,usa,global dental care,0,2,0,12
2024-09-11,2024-09-17,usa,globalcare,0,1,0,3
2024-09-18,2024-09-24,usa,global dental care,0,1,0,3
2024-09-18,2024-09-24,usa,globalcare,0,2,0,3.5
2024-09-25,2024-10-01,usa,global dental care,0,2,0,14
2024-09-25,2024-10-01,usa,globalcare,0,4,0,3
2024-10-02,2024-10-08,usa,globalcare,0,1,0,10
2024-10-09,2024-10-15,usa,global dental center photos,0,1,0,12
2024-10-09,2024-10-15,usa,globalcare,0,1,0,3
2024-10-16,2024-10-22,usa,global dental services,0,2,0,11.5
2024-10-16,2024-10-22,usa,globalcare,0,1,0,2
2024-10-23,2024-10-29,usa,globalcare,0,5,0,6.2
2024-10-30,2024-11-05,usa,global dental care,0,1,0,5
2024-10-30,2024-11-05,usa,globalcare,0,2,0,6.5
2024-11-06,2024-11-12,usa,global dental care,0,1,0,9
2024-11-06,2024-11-12,usa,globalcare,0,3,0,5.666666666666667
2024-11-13,2024-11-19,usa,globalcare,0,2,0,3
2024-11-20,2024-11-26,usa,globalcare,0,1,0,6
2024-11-27,2024-12-03,usa,globalcare,0,3,0,5
2024-11-27,2024-12-03,usa,globalcare.com,0,1,0,8
